workload,size,repeats
GEMM,64,10
GEMM,96,10
GEMM,128,10
GEMM,160,10
GEMM,192,10
GEMM,224,10
GEMM,256,10
GEMM,320,10
GEMM,384,10
GEMM,448,10
GEMM,512,10
GEMM,640,10
GEMM,768,10
GEMM,896,10
GEMM,1024,10
GEMM,1152,10
GEMM,1280,10
GEMM,1408,10
GEMM,1536,10
GEMM,1664,10
GEMM,1792,10
