.row,device,workload,size,time_s,energy_j_raw,energy_method,energy_j,p_w,batch_size,timing_method,notes,edp_j_s
1,CPU,GEMM,2000,5.216751623998789,220.657272,rapl,220.657272,42.29782974234451,50,CPU_perf_counter_batched,NA,1151.1141820531425
2,CPU,GEMM,2000,5.254266801000995,232.014847,rapl,232.014847,44.157416398382864,50,CPU_perf_counter_batched,NA,1219.0679079314252
3,CPU,GEMM,2000,5.258095487999526,230.943684,rapl,230.943684,43.921546218983536,50,CPU_perf_counter_batched,NA,1214.3239428223883
4,CPU,GEMM,2000,5.211874401000387,221.572064,rapl,221.572064,42.51293238330353,50,CPU_perf_counter_batched,NA,1154.8057683384193
5,CPU,GEMM,2000,5.219610140000441,228.233303,rapl,228.233303,43.726120702183465,50,CPU_perf_counter_batched,NA,1191.288862624593
6,CPU,GEMM,2000,5.225490197999534,221.673322,rapl,221.673322,42.42153627708705,50,CPU_perf_counter_batched,NA,1158.3517712689945
7,CPU,GEMM,2000,5.207881451000503,224.71909,rapl,224.71909,43.14980901818118,50,CPU_perf_counter_batched,NA,1170.3103804967127
8,CPU,GEMM,2000,5.225605298001028,232.621841,rapl,232.621841,44.51576951075615,50,CPU_perf_counter_batched,NA,1215.5899247603527
9,CPU,GEMM,2000,5.210256933998608,216.820185,rapl,216.820185,41.61410612693174,50,CPU_perf_counter_batched,NA,1129.6888723271109
10,CPU,GEMM,2000,5.211246549000862,219.601488,rapl,219.601488,42.139915265015354,50,CPU_perf_counter_batched,NA,1144.397496495454
11,GPU,GEMM,2000,0.05135852300008992,20.48300000000745,nvml_total_energy,20.48300000000745,398.8237745850205,50,CUDA_events_batched_power_sampled,NA,1.0519766266112245
13,GPU,GEMM,2000,0.04104456799905165,15.925999999977648,nvml_total_energy,15.925999999977648,388.01724019474693,50,CUDA_events_batched_power_sampled,NA,0.6536757899519792
21,CPU,GEMM,4000,16.049776142001065,712.533576,rapl,712.533576,44.39523453136228,20,CPU_perf_counter_batched,NA,11436.004388459503
22,CPU,GEMM,4000,16.06167839599948,691.603576,rapl,691.603576,43.059234467816225,20,CPU_perf_counter_batched,NA,11108.314215235183
23,CPU,GEMM,4000,16.1474473269991,704.33517199999994,rapl,704.33517199999994,43.618979380247104,20,CPU_perf_counter_batched,NA,11373.21509042285
24,CPU,GEMM,4000,16.02241580699956,705.077602,rapl,705.077602,44.0056986719805,20,CPU_perf_counter_batched,NA,11297.046515446145
25,CPU,GEMM,4000,16.126945296000486,718.196892,rapl,718.196892,44.53396962772077,20,CPU_perf_counter_batched,NA,11582.32198904157
26,CPU,GEMM,4000,16.045862608998505,724.376869,rapl,724.376869,45.1441525240139,20,CPU_perf_counter_batched,NA,11623.251717110508
27,CPU,GEMM,4000,16.02830473100039,637.519669,rapl,637.519669,39.7746161992398,20,CPU_perf_counter_batched,NA,10218.359526738503
28,CPU,GEMM,4000,16.04241411700059,570.00025,rapl,570.00025,35.530827582611465,20,CPU_perf_counter_batched,NA,9144.180057293866
29,CPU,GEMM,4000,16.0864174849994,572.924437,rapl,572.924437,35.61541514972197,20,CPU_perf_counter_batched,NA,9216.301680940238
30,CPU,GEMM,4000,15.99298840299889,578.781111,rapl,578.781111,36.1896786526445,20,CPU_perf_counter_batched,NA,9256.439596097813
31,GPU,GEMM,4000,0.12178126699836866,24.130000000121072,nvml_total_energy,24.130000000121072,198.14213298047153,20,CUDA_events_batched_power_sampled,NA,2.9385819726853804
33,GPU,GEMM,4000,0.11633537899979274,25.121999999973923,nvml_total_energy,25.121999999973923,215.94462678476063,20,CUDA_events_batched_power_sampled,NA,2.9225773912297597
35,GPU,GEMM,4000,0.11575074400025188,25.337000000057746,nvml_total_energy,25.337000000057746,218.89276150140867,20,CUDA_events_batched_power_sampled,NA,2.9327766007410663
36,GPU,GEMM,4000,0.11642813800062868,33.661000000080094,nvml_total_energy,33.661000000080094,289.11395971907007,20,CUDA_events_batched_power_sampled,NA,3.9190875532484872
38,GPU,GEMM,4000,0.11637915000028444,30.14199999999255,nvml_total_energy,30.14199999999255,258.9982827673074,20,CUDA_events_batched_power_sampled,NA,3.5079003393077066
40,GPU,GEMM,4000,0.11601093200079048,28.4660000000149,nvml_total_energy,28.4660000000149,245.37342739235075,20,CUDA_events_batched_power_sampled,NA,3.3023671903362306
41,CPU,GEMM,8000,30.577654564000113,1099.142145,rapl,1099.142145,35.94592720312988,5,CPU_perf_counter_batched,NA,33609.18882654412
42,CPU,GEMM,8000,30.56902894199993,1093.789497,rapl,1093.789497,35.78096965642248,5,CPU_perf_counter_batched,NA,33436.08279024855
43,CPU,GEMM,8000,30.607344264999483,1138.1064,rapl,1138.1064,37.18409510299992,5,CPU_perf_counter_batched,NA,34834.41439499921
44,CPU,GEMM,8000,30.77958377899995,1110.774012,rapl,1110.774012,36.08801275467052,5,CPU_perf_counter_batched,NA,34189.161761889896
45,CPU,GEMM,8000,30.48099056899991,1090.689224,rapl,1090.689224,35.78260429335469,5,CPU_perf_counter_batched,NA,33245.28795045383
46,CPU,GEMM,8000,30.498348989998703,1155.514009,rapl,1155.514009,37.88775613325583,5,CPU_perf_counter_batched,NA,35241.2695093145
47,CPU,GEMM,8000,30.518188845000623,1074.208798,rapl,1074.208798,35.198969488517754,5,CPU_perf_counter_batched,NA,32782.906956325125
48,CPU,GEMM,8000,30.48333639700104,1083.910006,rapl,1083.910006,35.55745971778324,5,CPU_perf_counter_batched,NA,33041.19333697342
49,CPU,GEMM,8000,30.475098388000333,1091.380629,rapl,1091.380629,35.812210188950026,5,CPU_perf_counter_batched,NA,33259.93204753269
50,CPU,GEMM,8000,30.49959994799974,1087.497948,rapl,1087.497948,35.656138108503995,5,CPU_perf_counter_batched,NA,33168.25235827062
51,GPU,GEMM,8000,0.22784129300089265,76.91899999999441,nvml_total_energy,76.91899999999441,337.59903214599933,5,CUDA_events_batched_power_sampled,NA,17.52532441633439
52,GPU,GEMM,8000,0.22215112800040515,63.50900000007823,nvml_total_energy,63.50900000007823,285.8819605001619,5,CUDA_events_batched_power_sampled,NA,14.108595988195109
53,GPU,GEMM,8000,0.22209690599993337,97.45100000011736,nvml_total_energy,97.45100000011736,438.7769364069691,5,CUDA_events_batched_power_sampled,NA,21.643565586625574
54,GPU,GEMM,8000,0.22246196899868664,62.47099999990314,nvml_total_energy,62.47099999990314,280.8165381304881,5,CUDA_events_batched_power_sampled,NA,13.897421665295406
55,GPU,GEMM,8000,0.22243687399895865,70.11900000018068,nvml_total_energy,70.11900000018068,315.23100796906965,5,CUDA_events_batched_power_sampled,NA,15.59705116797317
56,GPU,GEMM,8000,0.2223362629993062,95.2369999999646,nvml_total_energy,95.2369999999646,428.3466795529517,5,CUDA_events_batched_power_sampled,NA,21.174638679257054
57,GPU,GEMM,8000,0.22308283900019887,64.71099999989383,nvml_total_energy,64.71099999989383,290.0761003845578,5,CUDA_events_batched_power_sampled,NA,14.435913594518185
58,GPU,GEMM,8000,0.22305745000085153,96.377000000095,nvml_total_energy,96.377000000095,432.072544538311,5,CUDA_events_batched_power_sampled,NA,21.49760785875326
59,GPU,GEMM,8000,0.22272440000051577,62.44399999990128,nvml_total_energy,62.44399999990128,280.3644324544445,5,CUDA_events_batched_power_sampled,NA,13.90780243361022
60,GPU,GEMM,8000,0.2225195539995184,70.28700000001118,nvml_total_energy,70.28700000001118,315.8688696642062,5,CUDA_events_batched_power_sampled,NA,15.640231891966636
